"전시회 관람 (미술, 사진, 건축, 디자인 등)",000,0.123
"미술 활동(그림, 서예, 조각, 디자인, 도예, 만화 등)",001,0.287
사진 촬영(디지털 카메라 포함),002,0.205
박물관 관람,010,0
"음악 연주회 관람(클래식, 오페라 등)",020,0
악기 연주/노래 교실,021,0.41
"전통예술공연 관람(국악, 민속놀이 등)",030,0
"전통예술 배우기(사물놀이, 줄타기 등)",031,0
연극공연 관람(뮤지컬 포함),040,0
연극,041,0
무용 공연 관람,050,0
"연예 공연 관람(쇼, 콘서트, 마술 쇼 등)",051,0
"춤/무용(발레, 한국무용, 현대무용, 방송댄스, 스트릿댄스, 비보잉 등)",052,0.9
문학 행사 참여,060,0
글짓기/독서 토론,061,0.041
영화 관람,070,0.984
농구,100,0.353
농구 관람,101,0.1423
배구,110,0.353
배구 관람,111,0.1423
야구,120,0.353
야구 관람,121,0.1423
축구,130,0.353
축구 관람,131,0.1423
족구,140,0.353
족구 관람,141,0.1423
테니스,150,0.2255
테니스 관람,151,0.1423
스쿼시,160,0.2255
스쿼시 관람,161,0.1423
당구,170,0.205
당구 관람,171,0.1423
포켓볼,180,0.205
포켓볼 관람,181,0.1423
볼링,190,0.164
볼링 관람,191,0.1423
탁구,1a0,0.164
탁구 관람,1a1,0.1423
골프,1b0,0.246
골프 관람,1b1,0.1423
수영,1c0,1.271
수영 관람,1c1,0.1423
윈드서핑,1c2,0
윈드서핑 관람,1c3,0.1423
수상스키,1c4,0
수상스키 관람,1c5,0.1423
스킨스쿠버다이빙,1c6,0
래프팅,1c7,0
요트,1c8,0
스노보드,1d0,0
스노보드관람,1d1,0.1423
스키,1d2,0
스키 관람,1d3,0.1423
아이스 스케이트,1d4,0
아이스 스케이트 관람,1d5,0.1423
아이스 하키,1d6,0
아이스 하키 관람,1d7,0.1423
보디빌딩,1e0,0
헬스,1e1,8.774
에어로빅,1f0,0
요가,1f1,1.66
필라테스,1f2,1.66
배드민턴,1g0,0.5125
배드민턴 관람,1g1,0.1423
줄넘기,1h0,0.5125
줄넘기 관람,1h1,0.1423
체조,1h2,0
체조 관람,1h3,0.1423
훌라후프,1h4,0
훌라후프 관람,1h5,0.1423
마라톤,1i0,0.205
마라톤 관람,1i1,0.1423
태권도,1j0,0.246
태권도 관람,1j1,0.1423
유도,1j2,0.246
유도 관람,1j3,0.1423
합기도,1j4,0.246
합기도 관람,1j5,0.1423
검도,1j6,0.246
검도 관람,1j7,0.1423
권투,1j8,0.246
권투 관람,1j9,0.1423
탱고,1k0,0
왈츠,1k1,0
자이보,1k2,0
맘보,1k3,0
폴카,1k4,0
차차차,1k5,0
사이클링,1l0,0.328
사이클링 관람,1l1,0.1423
산악자전거,1m0,0
산악자전거 관람,1m1,0.1423
인라인 스케이트,1n0,0
인라인 스케이트 관람,1n1,0.1423
승마,1o0,0
승마 관람,1o1,0.1423
클라이밍,1p0,0
클라이밍 관람,1p1,0.1423
"문화유적 방문(고궁, 절, 유적지 등)",200,0.297
자연명승 및 풍경 관람,210,0.297
삼림욕,211,0
국내여행,220,0
해외여행,221,0
소풍/야유회,222,0
유람선 타기,223,0
온천/해수욕,230,0
테마파크/놀이공원/동물원/식물원 가기,231,0.17425
지역축제 참가,232,0
자동차 드라이브,240,0.338
수집 활동(스크랩 포함),300,0
"생활공예(십자수, 비즈공예, DIY, 꽃꽂이 등)",310,0.082
요리,320,0
다도,321,0
반려 동물 돌보기,330,1.558
노래방 가기,340,0.205
"인테리어(집, 자동차 등)",350,0
등산,360,0.656
낚시,370,0.287
홈페이지/블로그 관리,380,0.533
SNS,381,0
미디어 제작,382,1.394
인터넷 서핑,383,1.394
컴퓨터 게임,390,1.21975
모바일 게임,391,1.21975
콘솔 게임,392,1.21975
보드 게임,3a0,1.21975
퍼즐/큐브,3a1,0
바둑,3b0,0
체스,3b1,0
장기,3b2,0
쇼핑,3c0,0.2255
외식,3d0,0.2255
독서(웹소설 포함),3e0,0.451
"만화(애니, 웹툰)",3f0,0.287
피부 관리,3g0,0.0205
헤어 관리,3g1,0.0205
네일 아트,3g2,0.0205
마사지,3g3,0.0205
공부,3h0,0
"이색/테마카페 체험(방탈출, VR, 낚시카페 등)",3i0,0.082
"원예(화분, 화단 가꾸기 등)",3j0,0
산책,400,10.664555420219243
목욕/사우나/찜질방,410,6.022168087697928
낮잠,420,7.574421437271618
TV시청,430,12.418026796589523
"영상시청(VOD, 유튜브, 넷플릭스, 웨이브, 티빙, 디즈니플러스 등)",431,8.72423873325213
라디오/팟캐스트 청취,440,4.009987819732034
음악 감상,450,6.3671132764920815
신문/잡지 보기,460,3.219488428745432
사회봉사활동,500,0.205
종교 활동,510,0.738
클럽/나이트/디스코/캬바레 가기,520,0
기타,530,0
