"""문화예술관람활동""","""전시회 관람 (미술, 사진, 건축, 디자인 등)"""
"""문화예술참여활동""","""미술 활동""(그림, 서예, 조각, 디자인, 도예, 만화 등)"""
"""문화예술참여활동""","""사진 촬영(디지털 카메라 포함)"""
"""문화예술관람활동""","""박물관 관람"""
"""문화예술관람활동""","""음악 연주회 관람(클래식, 오페라 등)"""
"""문화예술참여활동""","""악기 연주/노래 교실"""
"""문화예술관람활동""","""전통예술공연 관람(국악, 민속놀이 등)"""
"""문화예술참여활동""","""전통예술 배우기(사물놀이, 줄타기 등)"""
"""문화예술참여활동""","""연극공연 관람(뮤지컬 포함)"""
"""문화예술참여활동""","""연극"""
"""문화예술관람활동""","""무용 공연 관람"""
"""문화예술관람활동""","""연예 공연 관람(쇼, 콘서트, 마술 쇼 등)"""
"""문화예술참여활동""","""춤/무용(발레, 한국무용, 현대무용, 방송댄스, 스트릿댄스, 비보잉 등)"""
"""문화예술참여활동""","""문학 행사 참여"""
"""문화예술참여활동""","""글짓기/독서 토론"""
"""문화예술관람활동""","""영화 관람"""
"""스포츠참여활동""","""농구"""
"""스포츠관람활동""","""농구 관람"""
"""스포츠참여활동""","""배구"""
"""스포츠관람활동""","""배구 관람"""
"""스포츠참여활동""","""야구"""
"""스포츠관람활동""","""야구 관람"""
"""스포츠참여활동""","""축구"""
"""스포츠관람활동""","""축구 관람"""
"""스포츠참여활동""","""족구"""
"""스포츠관람활동""","""족구 관람"""
"""스포츠참여활동""","""테니스"""
"""스포츠관람활동""","""테니스 관람"""
"""스포츠참여활동""","""스쿼시"""
"""스포츠관람활동""","""스쿼시 관람"""
"""스포츠참여활동""","""당구"""
"""스포츠관람활동""","""당구 관람"""
"""스포츠참여활동""","""포켓볼"""
"""스포츠관람활동""","""포켓볼 관람"""
"""스포츠참여활동""","""볼링"""
"""스포츠관람활동""","""볼링 관람"""
"""스포츠참여활동""","""탁구"""
"""스포츠관람활동""","""탁구 관람"""
"""스포츠참여활동""","""골프"""
"""스포츠관람활동""","""골프 관람"""
"""스포츠참여활동""","""수영"""
"""스포츠관람활동""","""수영 관람"""
"""스포츠참여활동""","""윈드서핑"""
"""스포츠관람활동""","""윈드서핑 관람"""
"""스포츠참여활동""","""수상스키"""
"""스포츠관람활동""","""수상스키 관람"""
"""스포츠참여활동""","""스킨스쿠버다이빙"""
"""스포츠참여활동""","""래프팅"""
"""스포츠참여활동""","""요트"""
"""스포츠참여활동""","""스노보드"""
"""스포츠관람활동""","""스노보드관람"""
"""스포츠참여활동""","""스키"""
"""스포츠관람활동""","""스키 관람"""
"""스포츠참여활동""","""아이스 스케이트"""
"""스포츠관람활동""","""아이스 스케이트 관람"""
"""스포츠참여활동""","""아이스 하키"""
"""스포츠관람활동""","""아이스 하키 관람"""
"""스포츠참여활동""","""보디빌딩"""
"""스포츠참여활동""","""헬스"""
"""스포츠참여활동""","""에어로빅"""
"""스포츠참여활동""","""요가"""
"""스포츠참여활동""","""필라테스"""
"""스포츠참여활동""","""배드민턴"""
"""스포츠관람활동""","""배드민턴 관람"""
"""스포츠참여활동""","""줄넘기"""
